"Vce" "Vcb" "Ic" "P" "Mota"
"116" 61.16 71.09 11.98 116.21 "NPN"
"117" 51.06 75.13 12.74 124.31 "NPN"
"118" 48.18 68.45 12.88 119.95 "PNP"
"119" 64.64 66.56 12.67 120.44 "PNP"
"120" 66.49 79.16 14.51 112.07 "NPN"
"121" 67.38 56.07 13.84 108.36 "PNP"
"122" 49.75 71.98 18.1 111.58 "PNP"
"123" 58.42 80.48 17.35 105.76 "PNP"
"124" 58.51 66.81 13.22 134.05 "NPN"
"125" 69.46 60.55 15.4 126.86 "NPN"
"126" 57.96 64.92 14 124.63 "NPN"
"127" 56.48 60.23 17.62 123.59 "NPN"
"128" 61.23 73.9 12.89 110.31 "PNP"
"129" 58.1 73.36 14.32 120.67 "PNP"
"130" 60.19 64.93 12.16 114.05 "PNP"
"131" 60.69 77.64 11.56 111.64 "NPN"
"132" 64.38 75.36 16.83 110.22 "PNP"
"133" 54.08 73.62 16.98 122.97 "NPN"
"134" 62.72 68.28 17.26 120.77 "PNP"
"135" 69.54 68.59 15.83 119.92 "NPN"
"136" 59.19 71.02 15.5 103.73 "PNP"
"137" 55.85 76.02 12.7 108.08 "NPN"
"138" 57.52 81.97 10.88 113.55 "PNP"
"139" 57.38 72.6 13 121.65 "PNP"
"140" 54.25 78.14 14.61 116.37 "NPN"
"141" 60.52 68.41 16.18 117.17 "NPN"
"142" 63.94 71.56 12.81 113.1 "NPN"
"143" 57.24 66.67 16.76 124.97 "PNP"
"144" 52.75 58.87 16.45 117.18 "PNP"
"145" 64 59.31 15.21 117.16 "PNP"
